"id"	"description"	"en"	"local"
""	""	"Volcano East"	"вулкан Східний"
""	""	"Eastern region of a dormant volcano."	"Східна область сплячого вулкана."
""	""	"Volcano Southwest"	"Вулкан Південно-Західний"
""	""	"Southwest region of a dormant volcano."	"Південно-західна область сплячого вулкана."
""	""	"Volcano South"	"вулкан Південний"
""	""	"Southern region of a dormant volcano."	"Південна область сплячого вулкана."
""	""	"Volcano Southeast"	"Вулкан Південно-Східний"
""	""	"Southeast region of a dormant volcano."	"Південно-східна область сплячого вулкана."
""	""	"Special Outfit"	"Спеціальне Спорядження"
""	""	"None"	"Немає"
""	""	"Diving"	"Водолазний"
""	""	"Firefighter"	"Пожежний"
""	""	"Scuba"	"Пірнальний"
""	""	"Parachute"	"Парашют"
""	""	"Arctic"	"Арктичний"
""	""	"SET OBJECTIVE"	"ЗАДАТИ ЦІЛЬ"
""	""	"ADD COMPONENTS TO MISSION"	"ДОДАТИ КОМПОНЕНТИ ДО МІСІЇ"
""	""	"IN MISSON"	"У МІССОНІ"
""	""	"SET TRIGGER"	"Назначити тригер"
""	""	"ZONES"	"Області"
""	""	"ZONE"	"Область"
""	""	"VEHICLE BUTTONS"	"КНОПКИ АВТОМОБІЛЯ"
""	""	"VEHICLE BUTTON"	"КНОПКА АВТОМОБІЛЯ"
""	""	"OBJECTIVES"	"Цілі"
""	""	"OBJECTIVE"	"Ціль"
""	""	"SET ACTION COMPONENTS"	"Встановити компоненти дії"
""	""	"DEPENDENCIES"	"Залежності"
""	""	"SET ACTION OBJECTIVES"	"Встановити цілі дії"
""	""	"Uploading to workshop. Please wait..."	"Завантаження в ""Steam Workshop"", зачекайте..."
""	""	"Loading. Please wait..."	"Завантаження. Чейкай..."
""	""	"Your addon has errors that must be fixed in order to upload to the Steam workshop:\n\n"	"Ваш ""addon"" має помилки і має бути виправлений, щоб завантажити його в ""Steam Workshop"":\n\n"
""	""	"CANNOT UPLOAD TO WORKSHOP"	"Неможливо вигрузити в майстерню"
""	""	"Your mission has errors that must be fixed before it can be tested:\n\n"	"Ваша місія має помилки, яки мають бути виправлені, перед тим як тестувати її:\n\n"
""	""	"CANNOT SPAWN MISSION"	"Неможливо викликати місію"
""	""	"WORKSHOP UPLOAD FAILED"	"Помилка завантаження в майстерню"
""	""	"COMPONENTS OVERLAPPING"	"Збіг компонентів"
""	""	"Your addon has failed to upload to the Steam workshop."	"Ваш ""addon"" не вдалося завантажити в майстерню."
""	""	"Your workshop addon has failed to update."	"Помилка оновлення аддона в майстерні."
""	""	"ADDON UPLOAD COMPLETE"	"Завантаження аддона завершена"
""	""	"Your addon was successfully uploaded to the Steam workshop.\n\n We recommend heading to your addon's workshop page to add more information about the content you've included.\n\n Any vehicles used in your addon have been included as part of the upload. Players will not need to separately subscribe to any of these vehicles."	"Ваш ""addon"" був успішно завантажено в ""Steam Workshop"".\n\n Ми рекомендуємо доповнити інформацію про ваш аддон на сторінці в ""Steam Workshop"".\n\n Додати в ""Використовуємий вміст"" всі транспортні засоби, які в ньому використовувалися. Щоб користувачам не потрібно було підписуватися на кожен окремо."
""	""	"ADDON UPDATE COMPLETE"	"Оновлення аддону успішно завершено"
""	""	"Your addon was updated successfully.\n\nYou can customise the changelog for this update by heading to your addon's workshop page to let your subscribers know what's new."	"Ваш аддон успішно оновлений.\n\nВи можете налаштувати ""Перелік змін"" на сторінці вашого аддону, щоб підписники знали, що нового ви добавили."
""	""	"missions"	"місії"
""	""	"mission"	"місія"
""	""	"objectives"	"цілі"
""	""	"objective"	"ціль"
""	""	"triggers"	"тригери"
""	""	"trigger"	"тригер"
""	""	"This component is currently required by"	"Цей компонент наразі потрібен для"
""	""	"Are you sure you want to delete it?"	"Ви впевнені, що хочете видалити це?"
""	""	"Workshop upload must have a name"	"Робота має мати назву"
""	""	"Workshop upload must be renamed"	"Робота має мати іншу назву"
""	""	"This addon includes the following"	"Цей аддон включає в себе наступне"
""	""	"mission(s)"	"місія/місії"
""	""	"Please note that some missions in this addon will only naturally spawn if certain criteria are met(such as owning a specific type of island, or having unlocked fire equipment)."	"Зверніть увагу, що деяка місії з аддону з'являються природним чином, лише за умови виконання перних критеріїв (such as owning a specific type of island, or having unlocked fire equipment)."
""	""	"The author of this addon has tagged it as creative, so some or all included missions may be unsuitable for career mode."	"Автор аддону зазначив це як для творчого режиму, тому деякі місії можут бути не придатні для кар'єри."
""	""	"(If you are the author of this addon, you can edit this description to add more details)"	"(Якщо ви автор аддону, ви можете відредагувати цей опис, щоб зазначити більше деталей)"
""	""	"Uploaded"	"Завантажено"
